-24.1847,6584.73,-1
-27.1035,7471.16,-1
-24.2092,6642.3,-1
-1,-1,229.85
-1,-1,242.826
9.21139,-1209.1,-1
9.49902,-1280.02,-1
8.31699,-985.027,-1
7.79478,-1750.99,-1
-1,-1,256.758
-1,-1,263.908
9.40644,-1243.15,-1
10.3658,-1404.51,-1
10.4917,-1435.44,-1
10.3926,-1412.63,-1
-1,-1,229.994
9.54699,-1277.73,-1
8.88329,-1053.4,-1
9.70644,-1316.68,-1
8.36413,-998.802,-1
-1,-1,228.879
8.47597,-1011.5,-1
-6.36863,1665.93,-1
-2.42659,1008.43,-1
-2.45973,1018.29,-1
-2.25853,964.383,-1
9.34272,-1243.58,-1
8.60971,-1073.45,-1
9.09331,-1183.52,-1
-1,-1,226.881
8.20658,-973.978,-1
-1,-1,230.345
-4.12379,1295.58,-1
-4.097,1287.75,-1
-3.66441,1164.35,-1
-2.22251,949.651,-1
-2.63596,1089.15,-1
-1,-1,243.137
9.66663,-1250.33,-1
9.20641,-1153.42,-1
10.0358,-1331.14,-1
10.9224,-1532.87,-1
9.19909,-1193.92,-1
8.54541,-1046.73,-1
9.02169,-1154.47,-1
9.61597,-1284.21,-1
9.37418,-1183.83,-1
-1,-1,224.385
-2.32113,981.686,-1
-2.48673,1041.47,-1
-2.38492,1004.4,-1
-2.60956,939.264,-1
9.40578,-1257.98,-1
9.56056,-1296.03,-1
-0.895541,720.858,-1
-0.903884,722.941,-1
-0.777641,690.681,-1
-0.98439,743.734,-1
-1.09655,763.746,-1
-1.03764,759.475,-1
-1.06672,768.522,-1
-1.09752,779.706,-1
-1.13357,782.79,-1
-1,-1,252.969
-1,-1,248.476
-2.56241,1069.52,-1
-0.767135,692.695,-1
-2.32392,983.191,-1
-3.23657,1144.02,-1
-5.29578,1779.24,-1
-2.35678,992.543,-1
-2.28696,972.649,-1
-2.65298,1083.02,-1
-2.22209,953.046,-1
2.45854,96.3403,-1
1.35457,337.871,-1
1.36626,334.535,-1
1.38004,328.517,-1
-4.22918,1318.37,-1
1.50315,298.253,-1
-2.2149,951.357,-1
1.6839,252.354,-1
1.61032,268.504,-1
1.7091,248.264,-1
2.19215,154.677,-1
-1,-1,260.442
-1,-1,256.231
-1,-1,257.683
-1,-1,258.64
-1,-1,247.841
4.74454,-431.791,-1
-1,-1,291.428
-4.25889,1323.5,-1
